Market_and_Exchange_Names,As_of_Date_In_Form_YYMMDD,Open_Interest_All,Prod_Merc_Positions_Long_ALL,Prod_Merc_Positions_Short_ALL,Swap_Positions_Long_All,Swap__Positions_Short_All,M_Money_Positions_Long_ALL,M_Money_Positions_Short_ALL,Other_Rept_Positions_Long_ALL,Other_Rept_Positions_Short_ALL,Swap_net,Managed_net,other_net,Prod_net,Swap_ratio,Managed_ratio,other_ratio,Prod_ratio,spot_price
"CRUDE OIL, LIGHT SWEET - NEW YORK MERCANTILE EXCHANGE",170502,2215531,393287,628014,205088,380221,299554,136549,331138,120999,-175133,163005,210139,-234727,-0.079047867080172,0.073573784343347,0.094848142499473,-0.10594615918261,47.66
"CRUDE OIL, LIGHT SWEET - NEW YORK MERCANTILE EXCHANGE",170425,2188272,385949,626889,185072,377757,318733,97783,300023,109151,-192685,220950,190872,-240940,-0.088053496091894,0.10097008050188,0.087224988484064,-0.11010514232234,49.56
"CRUDE OIL, LIGHT SWEET - NEW YORK MERCANTILE EXCHANGE",170418,2161434,379023,628206,180336,376403,366681,73576,271169,120391,-196067,293105,150778,-249183,-0.090711536877832,0.13560673145699,0.069758317857496,-0.11528596293017,52.85
"CRUDE OIL, LIGHT SWEET - NEW YORK MERCANTILE EXCHANGE",170411,2193567,390718,634964,186762,371914,354115,77094,291838,131816,-185152,277021,160022,-244246,-0.084406813195129,0.12628791370403,0.072950586875167,-0.1113464963687,53.40
"CRUDE OIL, LIGHT SWEET - NEW YORK MERCANTILE EXCHANGE",170404,2213064,379478,637719,196411,343942,343733,115741,306254,125864,-147531,227992,180390,-258241,-0.066663684376051,0.10302097002165,0.081511424884233,-0.11668935014984,51.03
"CRUDE OIL, LIGHT SWEET - NEW YORK MERCANTILE EXCHANGE",170328,2222462,410098,663212,196032,353007,345055,134810,302926,115091,-156975,210245,187835,-253114,-0.070631128901192,0.094600042655397,0.084516630655552,-0.11388901137567,48.37
"CRUDE OIL, LIGHT SWEET - NEW YORK MERCANTILE EXCHANGE",170321,2194206,416395,677811,183963,355984,361256,127857,297773,112655,-172021,233399,185118,-261416,-0.078397835025517,0.10637059601514,0.084366736760359,-0.11913922393795,48.24
"CRUDE OIL, LIGHT SWEET - NEW YORK MERCANTILE EXCHANGE",170314,2240261,402150,673907,190170,365819,383767,128947,303259,124279,-175649,254820,178980,-271757,-0.078405596490766,0.1137456751691,0.079892476814085,-0.12130595497578,47.72
"CRUDE OIL, LIGHT SWEET - NEW YORK MERCANTILE EXCHANGE",170307,2137532,342230,662690,158759,373798,418346,61168,263830,112483,-215039,357178,151347,-320460,-0.10060153485422,0.16709831712461,0.070804554037086,-0.14992056259275,53.14
"CRUDE OIL, LIGHT SWEET - NEW YORK MERCANTILE EXCHANGE",170228,2120334,331051,661192,157850,373725,429168,60566,261113,104461,-215875,368602,156652,-330141,-0.10181179002931,0.17384147969141,0.073880813117179,-0.15570235632688,54.01
"CRUDE OIL, LIGHT SWEET - NEW YORK MERCANTILE EXCHANGE",170221,2103278,323391,665302,149584,379458,448846,43518,263871,112592,-229874,405328,151279,-341911,-0.10929320803051,0.1927125182691,0.071925347005959,-0.16256101190618,54.33
"CRUDE OIL, LIGHT SWEET - NEW YORK MERCANTILE EXCHANGE",170214,2183943,384000,703430,159104,366091,432594,49062,250660,125736,-206987,383532,124924,-319430,-0.094776740968056,0.17561447345466,0.057201126586179,-0.14626297481207,53.20
"CRUDE OIL, LIGHT SWEET - NEW YORK MERCANTILE EXCHANGE",170207,2191158,353142,657566,150869,350928,419755,67732,242174,117207,-200059,352023,124967,-304424,-0.091302863599978,0.16065614620215,0.057032400219427,-0.13893292952859,52.17
"CRUDE OIL, LIGHT SWEET - NEW YORK MERCANTILE EXCHANGE",170131,2181656,342192,655171,149467,345626,427935,53471,228775,110547,-196159,374464,118228,-312979,-0.089912891858295,0.17164209206218,0.054191861595045,-0.14345937214666,52.81
"CRUDE OIL, LIGHT SWEET - NEW YORK MERCANTILE EXCHANGE",170124,2151809,324620,630187,150154,342527,420513,53692,221888,106186,-192373,366821,115702,-305567,-0.089400592710598,0.17047098511067,0.053769642194079,-0.1420047039491,53.18
"CRUDE OIL, LIGHT SWEET - NEW YORK MERCANTILE EXCHANGE",170117,2179122,336347,635359,152144,335503,403021,59606,228516,107253,-183359,343415,121263,-299012,-0.084143522024008,0.15759328757178,0.055647641573074,-0.13721673224354,52.48
"CRUDE OIL, LIGHT SWEET - NEW YORK MERCANTILE EXCHANGE",170110,2114656,338039,626679,150472,327232,353726,75366,250535,95333,-176760,278360,155202,-288640,-0.083588063495907,0.13163370307038,0.073393497571236,-0.13649501384622,50.82
"CRUDE OIL, LIGHT SWEET - NEW YORK MERCANTILE EXCHANGE",170103,2089324,312021,593460,145217,330542,356275,76578,251842,91465,-185325,279697,160377,-281439,-0.088700938676816,0.13386961524397,0.076760234410747,-0.13470337774323,52.33
